date,net_yield
2026-05-29,0.00009428279172
2026-05-30,0.00009428278125
2026-05-31,0.00009428278125
2026-06-01,0.00009455394045
2026-06-02,0.00009421919937
2026-06-03,0.00009401051406
2026-06-04,0.00009400315169
2026-06-05,0.00009417881471
2026-06-06,0.00009417881471
2026-06-07,0.00009417881471
2026-06-08,0.00009425564035
2026-06-09,0.00009397889931
2026-06-10,0.00009357400308
2026-06-11,0.00009387568407
2026-06-12,0.00009451655678
2026-06-13,0.00009451655678
2026-06-14,0.00009451655678
2026-06-15,0.00009498733417
2026-06-16,0.00009420632998
2026-06-17,0.00009409071227
2026-06-18,0.00009402529688
2026-06-19,0.00009402530157
2026-06-20,0.00009402530157
2026-06-21,0.00009402530157
2026-06-22,0.00009384894621
2026-06-23,0.00009400475177
2026-06-24,0.0000941158472
2026-06-25,0.00009442885387
2026-06-26,0.00009393656826
2026-06-27,0.00009393655659
2026-06-28,0.00009393655659
2026-06-29,0.00009399035135
2026-06-30,0.00009480866327
2026-07-01,0.0000945402103
2026-07-02,0.0000943959523
2026-07-03,0.00009439596473
2026-07-04,0.00009439596473
2026-07-05,0.00009439596473
2026-07-06,0.00009416177368
2026-07-07,0.00009399575803
2026-07-08,0.00009328614685
2026-07-09,0.00009192658023
2026-07-10,0.000092185969
2026-07-11,0.00009218605303
2026-07-12,0.00009218605303
2026-07-13,0.00009365712701
2026-07-14,0.0000946140249
2026-07-15,0.00009461747119
2026-07-16,0.00009407859474
2026-07-17,0.00009334116291
2026-07-18,0.00009334116199
2026-07-19,0.00009334116199
2026-07-20,0.00009285963782
2026-07-21,0.00009382292954
2026-07-22,0.00009429842395
2026-07-23,0.0000948169988
2026-07-24,0.00009481845512
2026-07-25,0.00009481842924
2026-07-26,0.00009481842924
2026-07-27,0.00009479220258
2026-07-28,0.00009529124159
2026-07-29,0.00009519983929
2026-07-30,0.00009496017537
2026-07-31,0.00009520937422
2026-08-01,0.00009520913549
2026-08-02,0.00009520913549
2026-08-03,0.00009495980108
2026-08-04,0.00009521619014
2026-08-05,0.00009521867654
2026-08-06,0.00009484588467
2026-08-07,0.00009446720698
