date,net_yield
2026-05-29,0.00009428279171985096
2026-05-30,0.00009428278124748904
2026-05-31,0.00009428278124748904
2026-06-01,0.00009455394044751006
2026-06-02,0.00009421919937158273
2026-06-03,0.00009401051405952089
2026-06-04,0.00009400315168696349
2026-06-05,0.00009417881470695146
2026-06-06,0.00009417881470695146
2026-06-07,0.00009417881470695146
2026-06-08,0.00009425564034700436
2026-06-09,0.00009397889930889676
2026-06-10,0.00009357400308478594
2026-06-11,0.0000938756840664141
2026-06-12,0.0000945165567805329
2026-06-13,0.0000945165567805329
2026-06-14,0.0000945165567805329
2026-06-15,0.00009498733416572334
2026-06-16,0.00009420632997692268
2026-06-17,0.00009409071226776448
2026-06-18,0.00009402529688332184
2026-06-19,0.00009402530156972351
2026-06-20,0.00009402530156972351
2026-06-21,0.00009402530156972351
2026-06-22,0.00009384894621119537
2026-06-23,0.00009400475176957265
2026-06-24,0.00009411584720361018
2026-06-25,0.00009442885387466868
2026-06-26,0.00009393656825980446
2026-06-27,0.00009393655658584274
2026-06-28,0.00009393655658584274
2026-06-29,0.00009399035134789543
2026-06-30,0.00009480866326525528
2026-07-01,0.00009454021030069372
2026-07-02,0.00009439595230412757
2026-07-03,0.000094395964733756
2026-07-04,0.000094395964733756
2026-07-05,0.000094395964733756
2026-07-06,0.00009416177368369908
2026-07-07,0.00009399575802663414
2026-07-08,0.00009328614685073477
2026-07-09,0.00009192658023368441
2026-07-10,0.00009218596899579975
2026-07-11,0.00009218605303158629
2026-07-12,0.00009218605303158629
2026-07-13,0.00009365712701215785
2026-07-14,0.00009461402489811441
2026-07-15,0.00009461747119088827
2026-07-16,0.00009407859474481284
2026-07-17,0.00009334116291203732
2026-07-18,0.00009334116198629197
2026-07-19,0.00009334116198629197
2026-07-20,0.00009285963781724619
2026-07-21,0.00009382292953500834
2026-07-22,0.0000942984239466504
2026-07-23,0.00009481699879957954
2026-07-24,0.00009481845511882583
2026-07-25,0.00009481842924062227
2026-07-26,0.00009481842924062227
2026-07-27,0.00009479220257564561
2026-07-28,0.00009529124159071357
2026-07-29,0.00009519983929345603
2026-07-30,0.00009496017537024424
2026-07-31,0.00009520937422148554
2026-08-01,0.00009520913549139422
2026-08-02,0.00009520913549139422
2026-08-03,0.00009495980108379646
2026-08-04,0.00009521619013768704
2026-08-05,0.00009521867653956974
2026-08-06,0.0000948458846652299
2026-08-07,0.00009446720698259982
